1.1,8
1.2,3
1.3,8
1.4,leenard jones equation and derivation to obtain useful formulae
1.5,no, i think they are important to provide context and better understand the process
1.6,equation with one minima, but a plot would be clearer
2.1,8
2.2,10
2.3,8
2.4,9
2.5,10
2.6,10
2.7,yes, visualize difference in slope between small and large r
2.8,understand physical explanations linked to the potential
2.9,no
2.10,yes, difference btw force and potential
3.1,7
3.2,10
3.3,7
3.4,10
3.5,10
3.6,10
3.7,7
3.8,1
3.9,10
3.10,7
3.11,good to answer questions
3.12,distracting potentially
3.13,EMPTY
3.14,EMPTY
